Item ID,Item Name,Category,Quantity,Price per Unit,Total Value,Warehouse,Reorder Level
CL-0000,Hat,Clothing,313,456.18,142784.34,Warehouse-3,36
EL-0001,Tablet,Electronics,366,441.08,161435.28,Warehouse-3,39
CL-0002,Shirt,Clothing,243,334.74,81341.82,Warehouse-5,46
EL-0003,Monitor,Electronics,175,143.15,25051.25,Warehouse-2,42
TO-0004,Screwdriver,Tools,357,898.74,320850.18,Warehouse-4,26
TO-0005,Drill,Tools,479,7.21,3453.59,Warehouse-2,61
CL-0006,Shoes,Clothing,131,416.29,54533.99,Warehouse-5,38
FU-0007,Desk,Furniture,248,465.37,115411.76,Warehouse-3,41
TO-0008,Wrench,Tools,327,664.21,217196.67,Warehouse-1,25
EL-0009,Monitor,Electronics,42,435.46,18289.32,Warehouse-5,93
FO-0010,Apple,Food,138,516.61,71292.18,Warehouse-2,67
BO-0011,Notebook,Books,5,55.54,277.7,Warehouse-4,56
TO-0012,Hammer,Tools,470,890.23,418408.1,Warehouse-5,52
BO-0013,Manual,Books,490,16.95,8305.5,Warehouse-2,67
TO-0014,Doll,Toys,130,877.94,114132.2,Warehouse-1,21
TO-0015,Hammer,Tools,332,884.82,293760.24,Warehouse-4,83
TO-0016,Car,Toys,231,674.44,155795.64,Warehouse-4,75
FO-0017,Chicken,Food,51,511.92,26107.92,Warehouse-4,42
FO-0018,Bread,Food,404,336.62,135994.48,Warehouse-3,76
CL-0019,Hat,Clothing,393,265.04,104160.72,Warehouse-4,58
FO-0020,Chicken,Food,223,269.14,60018.22,Warehouse-2,98
TO-0021,Screwdriver,Tools,480,197.68,94886.4,Warehouse-3,28
EL-0022,Camera,Electronics,132,169.2,22334.4,Warehouse-3,38
FU-0023,Shelf,Furniture,195,819.33,159769.35,Warehouse-1,28
CL-0024,Pants,Clothing,482,628.71,303038.22,Warehouse-3,85
TO-0025,Puzzle,Toys,6,744.84,4469.04,Warehouse-5,54
FU-0026,Desk,Furniture,449,169.12,75934.88,Warehouse-4,61
CL-0027,Hat,Clothing,34,656.5,22321.0,Warehouse-2,78
EL-0028,Tablet,Electronics,375,459.33,172248.75,Warehouse-2,48
BO-0029,Novel,Books,77,750.91,57820.07,Warehouse-4,96
BO-0030,Manual,Books,466,77.22,35984.52,Warehouse-4,37
FU-0031,Shelf,Furniture,41,347.59,14251.19,Warehouse-4,58
EL-0032,Monitor,Electronics,3,311.07,933.21,Warehouse-1,59
FU-0033,Shelf,Furniture,251,423.66,106338.66,Warehouse-4,43
BO-0034,Novel,Books,94,198.67,18674.98,Warehouse-2,45
EL-0035,Phone,Electronics,189,798.23,150865.47,Warehouse-5,33
CL-0036,Jacket,Clothing,167,220.73,36861.91,Warehouse-5,35
TO-0037,Ball,Toys,470,922.59,433617.3,Warehouse-5,72
TO-0038,Screwdriver,Tools,155,639.69,99151.95,Warehouse-1,62
CL-0039,Shoes,Clothing,281,848.67,238476.27,Warehouse-3,60
EL-0040,Camera,Electronics,21,886.59,18618.39,Warehouse-2,58
BO-0041,Magazine,Books,284,396.94,112730.96,Warehouse-1,38
EL-0042,Phone,Electronics,466,901.5,420099.0,Warehouse-1,88
FU-0043,Table,Furniture,253,323.38,81815.14,Warehouse-2,96
CL-0044,Shirt,Clothing,279,577.75,161192.25,Warehouse-5,99
TO-0045,Screwdriver,Tools,485,172.16,83497.6,Warehouse-5,61
TO-0046,Blocks,Toys,312,227.69,71039.28,Warehouse-4,66
BO-0047,Novel,Books,316,126.29,39907.64,Warehouse-3,64
TO-0048,Screwdriver,Tools,353,264.21,93266.13,Warehouse-2,40
TO-0049,Ball,Toys,482,498.09,240079.38,Warehouse-1,58
FO-0050,Milk,Food,80,856.73,68538.4,Warehouse-1,71
FO-0051,Milk,Food,384,554.82,213050.88,Warehouse-5,29
EL-0052,Monitor,Electronics,31,275.8,8549.8,Warehouse-1,65
FO-0053,Apple,Food,401,996.01,399400.01,Warehouse-4,22
TO-0054,Car,Toys,204,973.42,198577.68,Warehouse-3,64
EL-0055,Phone,Electronics,81,326.77,26468.37,Warehouse-1,95
FU-0056,Chair,Furniture,404,204.67,82686.68,Warehouse-5,37
BO-0057,Textbook,Books,172,368.46,63375.12,Warehouse-4,64
BO-0058,Novel,Books,7,859.18,6014.26,Warehouse-3,88
TO-0059,Hammer,Tools,199,365.64,72762.36,Warehouse-1,82
FO-0060,Bread,Food,431,172.37,74291.47,Warehouse-5,25
CL-0061,Jacket,Clothing,401,516.89,207272.89,Warehouse-3,31
TO-0062,Wrench,Tools,417,155.02,64643.34,Warehouse-5,93
CL-0063,Hat,Clothing,86,881.3,75791.8,Warehouse-5,49
FU-0064,Couch,Furniture,174,315.46,54890.04,Warehouse-5,97
FO-0065,Milk,Food,203,648.22,131588.66,Warehouse-1,20
FU-0066,Couch,Furniture,444,10.51,4666.44,Warehouse-2,96
CL-0067,Shirt,Clothing,424,621.47,263503.28,Warehouse-2,45
FO-0068,Bread,Food,35,967.02,33845.7,Warehouse-1,49
BO-0069,Notebook,Books,49,21.75,1065.75,Warehouse-3,40
TO-0070,Doll,Toys,223,893.6,199272.8,Warehouse-5,59
BO-0071,Notebook,Books,369,561.72,207274.68,Warehouse-5,48
BO-0072,Magazine,Books,50,997.33,49866.5,Warehouse-1,78
TO-0073,Blocks,Toys,366,791.52,289696.32,Warehouse-4,50
TO-0074,Screwdriver,Tools,389,111.66,43435.74,Warehouse-1,88
BO-0075,Textbook,Books,370,534.22,197661.4,Warehouse-3,77
TO-0076,Hammer,Tools,63,175.53,11058.39,Warehouse-1,41
TO-0077,Saw,Tools,41,110.39,4525.99,Warehouse-1,37
TO-0078,Wrench,Tools,150,384.27,57640.5,Warehouse-4,97
TO-0079,Drill,Tools,302,658.84,198969.68,Warehouse-5,42
EL-0080,Phone,Electronics,152,361.14,54893.28,Warehouse-3,76
CL-0081,Shoes,Clothing,409,948.74,388034.66,Warehouse-1,84
CL-0082,Shirt,Clothing,194,990.93,192240.42,Warehouse-2,37
TO-0083,Blocks,Toys,279,409.28,114189.12,Warehouse-2,29
CL-0084,Hat,Clothing,146,615.81,89908.26,Warehouse-1,29
FO-0085,Milk,Food,478,172.51,82459.78,Warehouse-3,48
TO-0086,Car,Toys,279,388.18,108302.22,Warehouse-4,52
EL-0087,Camera,Electronics,20,271.52,5430.4,Warehouse-3,68
FU-0088,Chair,Furniture,413,577.99,238709.87,Warehouse-4,29
BO-0089,Notebook,Books,104,22.15,2303.6,Warehouse-5,52
FU-0090,Desk,Furniture,61,480.27,29296.47,Warehouse-4,41
TO-0091,Ball,Toys,455,822.41,374196.55,Warehouse-5,38
FO-0092,Bread,Food,460,621.29,285793.4,Warehouse-3,33
TO-0093,Drill,Tools,347,172.4,59822.8,Warehouse-5,83
FO-0094,Milk,Food,373,420.42,156816.66,Warehouse-3,86
BO-0095,Manual,Books,209,940.43,196549.87,Warehouse-5,88
TO-0096,Wrench,Tools,182,282.58,51429.56,Warehouse-3,77
FO-0097,Apple,Food,449,605.63,271927.87,Warehouse-2,85
TO-0098,Blocks,Toys,377,989.0,372853.0,Warehouse-5,97
EL-0099,Monitor,Electronics,209,992.97,207530.73,Warehouse-4,42
TO-0100,Puzzle,Toys,211,492.43,103902.73,Warehouse-4,51
TO-0101,Puzzle,Toys,130,516.19,67104.7,Warehouse-1,43
CL-0102,Pants,Clothing,142,21.74,3087.08,Warehouse-1,32
BO-0103,Novel,Books,362,612.06,221565.72,Warehouse-3,26
FU-0104,Chair,Furniture,278,134.93,37510.54,Warehouse-4,63
TO-0105,Car,Toys,110,862.06,94826.6,Warehouse-2,26
BO-0106,Novel,Books,301,31.83,9580.83,Warehouse-2,29
FU-0107,Desk,Furniture,88,579.49,50995.12,Warehouse-1,83
CL-0108,Shirt,Clothing,365,74.87,27327.55,Warehouse-3,62
TO-0109,Wrench,Tools,372,704.17,261951.24,Warehouse-5,89
BO-0110,Notebook,Books,113,725.15,81941.95,Warehouse-1,82
CL-0111,Pants,Clothing,374,390.92,146204.08,Warehouse-5,76
TO-0112,Puzzle,Toys,491,421.19,206804.29,Warehouse-2,54
TO-0113,Puzzle,Toys,482,970.8,467925.6,Warehouse-5,39
FO-0114,Milk,Food,372,933.88,347403.36,Warehouse-5,45
FO-0115,Cheese,Food,12,101.07,1212.84,Warehouse-3,64
FO-0116,Apple,Food,203,964.94,195882.82,Warehouse-1,33
CL-0117,Jacket,Clothing,54,934.81,50479.74,Warehouse-1,87
